,Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
173,Boy,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,4G,01-03,Yes,Computer,High
174,Boy,11-15,School,Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
175,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,03-06,No,Computer,Low
176,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Wifi,3G,01-03,No,Mobile,Moderate
177,Boy,16-20,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,01-03,Yes,Mobile,Low
178,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,No,Mobile,Low
179,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
180,Boy,11-15,School,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Computer,Moderate
181,,01-05,School,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
182,Girl,01-05,School,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Moderate
183,Girl,21-25,University,Non Government,No,Yes,Low,Rich,Wifi,4G,03-06,No,Computer,Moderate
184,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
185,Boy,11-15,School,Non Government,No,Yes,Low,Poor,,3G,01-03,No,Mobile,Low
186,Girl,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,01-03,,Mobile,Moderate
187,Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Low
188,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,01-03,No,Mobile,Moderate
189,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,03-06,No,Tab,Moderate
190,Boy,11-15,School,Non Government,No,Yes,High,Poor,Wifi,4G,01-03,No,Mobile,Low
191,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,03-06,Yes,Mobile,Moderate
192,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,03-06,Yes,Mobile,Moderate
193,Boy,16-20,School,Government,No,No,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
194,,16-20,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
195,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,01-03,Yes,Mobile,Low
196,Boy,16-20,College,Government,No,Yes,Low,Poor,Mobile Data,4G,01-03,No,Mobile,Low
197,Boy,11-15,School,Non Government,Yes,Yes,,Poor,Mobile Data,4G,01-03,No,Mobile,Moderate
198,Boy,11-15,School,Non Government,No,Yes,,Mid,Mobile Data,3G,01-03,No,Mobile,Moderate
199,Girl,11-15,School,Government,No,Yes,Low,Mid,Wifi,3G,01-03,No,,Low
200,Boy,06-10,School,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
201,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
202,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
203,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,01-03,Yes,Mobile,Moderate
204,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
205,Boy,11-15,School,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,High
206,Boy,26-30,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,03-06,No,Computer,Moderate
207,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,01-03,No,Mobile,Low
208,Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,4G,01-03,No,Mobile,Low
209,Girl,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,3G,03-06,Yes,Mobile,Low
